CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;ID02;ID03;ID03_01;ID03_02;ID03_03;ID04;ID04_01;ID04_02;ID04_03;ID06;ID06_01;ID06_02;ID06_03;ID06_04;ID06_05;ID06_06;ID06_07;ID06_07a;ID05_01;SA01_01;SA02_01;SA05_01;CS01_01;CS02_01;CS03_01;CS04_01;ES01_01;FI01_01;TM04;ST01;EV02;EV02_01;EV02_02;EV02_03;EV02_04;EV02_05;EX01_01;MD01_01;MY01_01;SS01_01;SS02_01;SD01_01;AD01;AD01_01;AC01_01;AR01_01;AT01_01;MF01;MF01_13;MF03;MF02;MF02_01;MF02_02;MF02_03;MF02_04;MF02_05;MF02_06;MF02_07;MF02_08;MF02_09;MF02_14;MF02_10;MF02_11;MF02_12;MF02_13;MF02_13a;MF02_15;RM01;RM01_01;RM01_02;RM01_03;RM01_04;RM01_05;RM01_06;RM01_07;RM01_08;RM01_09;RM01_10;RM01_11;RM01_12;RM01_12a;TB01;SL01_01;SL02_01;SB01_01;PO01_01;PO02_01;WS01_01;PS01;PH01;PH01_01;PH01_08;PH01_09;PH01_10;PH01_11;PH01_13;PH01_15;PH01_19;PH01_23;PH01_24;PH01_27;PR01_01;SE01_01;SE02;SE02_01;SE02_02;HS01_01;RE01_01;PT01_01;SF01;IB01_01;AU01_01;TE01;TE01_01;TE01_02;TE01_03;TE01_04;TE01_08;TE01_09;CT02_01;CT02_02;GR01_01;AV01_01;PQ01_01;II01_01;SV01_01;CO01;IL01_01;BC02;CB01_01;IM01_01;US01;US01_01;US01_02;US01_03;US01_04;TIME001;TIME002;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
Interview number (ongoing);Serial number (if provided);Reference (if provided in link);Questionnaire that has been used in the interview;Interview mode;Time the interview has started (Europe/Berlin);Description of the character /personality;Gender: Residual option (negative) or number of selected options;Gender: Male;Gender: Female;Gender: Transgender;Age of a suicidal person: Residual option (negative) or number of selected options;Age of a suicidal person: Youth or young persons;Age of a suicidal person: Adults;Age of a suicidal person: Older people (+65);Specific populations: Residual option (negative) or number of selected options;Specific populations: LGBTIQ+;Specific populations: Veterans / military;Specific populations: Artist;Specific populations: First responders - police, firebrigade, emergency service;Specific populations: Specific race / ethnicity / religion;Specific populations: Medical/Psychologist/Social care professionals;Specific populations: Other;Specific populations: Other (free text);Celebrity: Celebrity;Method in headline: Method in headline;"""Step by step guide"": ""Step by step guide""";Several suicidal acts reported: Several independent suicidal acts reported;Life event(s) reported: Life event(s) reported;Monocausality: Monocausality suggested;Societal problems reported to have increased: Societal problems (pressing or increase);Citation from suicide note / text message / email: Suicide note;Effects on bereaved: Effects on bereaved;Fictionality: Fictional content;Type of media;State - origin;Event: location: Residual option (negative) or number of selected options;Event: location: Oregon;Event: location: Washington;Event: location: Other state in US;Event: location: In US;Event: location: International (outside of US);Expert opinion reported: Expert opinion reported;Mental disorder related to suicide - PI: Connection between mental disorder and suicidal behaviour;Myths debunked - PI: Myth debunked;Contact support service: Contact - support services details;Details on how support service works: Support services: how they work;Suicide-related statistical data reported - PI: Suicide-related statistical data reported;AR;AR: Item is a duplicate -- provide ID of previous version;AC: Item identification code;AR: This item satisfies the inclusion criteria;AT: Date;Main focus of the item;Main focus of the item: Other;Main focus on individual or general?;ALL focus areas of the item: Residual option (negative) or number of selected options;ALL focus areas of the item: Completed suicide;ALL focus areas of the item: Attempted suicide;ALL focus areas of the item: Suicidal Ideation;ALL focus areas of the item: Individual murder suicide (up to 3 persons);ALL focus areas of the item: Mass murder suicide (four or more persons);ALL focus areas of the item: Assisted suicide including legal issues on assisted suicide;ALL focus areas of the item: Suicide cluster/or Community Crisis;ALL focus areas of the item: Self-harm (NOT suicidal behaviour, e.g. cutting for stress relief);ALL focus areas of the item: Policy/Prevention Programme;ALL focus areas of the item: Advocacy efforts;ALL focus areas of the item: Suicide research;ALL focus areas of the item: Legal issues (not on assisted suicide);ALL focus areas of the item: Healing story (personal recovery after crisis, attempt, or suicide);ALL focus areas of the item: Other;ALL focus areas of the item: Other (free text);ALL focus areas of the item: Suicide prevention (if healing story, advocacy efforts, or policy / prevention programme, code there)..;Reported method of suicidal behavior: Residual option (negative) or number of selected options;Reported method of suicidal behavior: Hanging (X70);Reported method of suicidal behavior: Jumping or falling from a height (X80);Reported method of suicidal behavior: Jumping in front of a moving object (X81);Reported method of suicidal behavior: Cutting (X78-X79);Reported method of suicidal behavior: Shooting (X72-X74);Reported method of suicidal behavior: Drowning (X 71);Reported method of suicidal behavior: Poisoning (X60-X69);Reported method of suicidal behavior: Explosive materials (X 75);Reported method of suicidal behavior: Burning / electrocution;Reported method of suicidal behavior: Crashing of a motor vehicle (X 82) - excludes crashing of aircraft;Reported method of suicidal behavior: Suicide by cop;Reported method of suicidal behavior: Other method;Reported method of suicidal behavior: Other method (free text);Time of broadcast ;Hotspots: The item describes or briefly mentions hotspots for suicidal behaviour.;Suicide cluster / community crisis: The item describes a suicide cluster or community crisis in relation to suicide;"Suicide portrayed as inevitable: Statement that ""suicide is inevitable""";Positive outcome of suicidal crisis: Examples of a positive outcome of suicidal crisis;Healing story of suicide bereavement: Examples of a healing story for a bereaved person after suicide;Warning signs: Warning signs of suicidal behaviour;Problem/Solution;Content of the photo: Residual option (negative) or number of selected options;Content of the photo: Suicide method;Content of the photo: A setting / location of suicidal behavior (location, site, maps);Content of the photo: Photo of suicidal person alive;Content of the photo: Photo of a deceased (victim of suicidal behaviour);Content of the photo: Funeral, funeral ceremony, grave;Content of the photo: Farewell letter/text message/email of suicidal person;Content of the photo: Police investigation;Content of the photo: Statistics, epidemiological graphs, charts, tables.;Content of the photo: Symbolic representation of positive emotion or behaviour including hope, seeking help / reaching out;Content of the photo: Symbolic representation of negative emotion including death or someone looking sad;Content of the photo: Other;Public myth enhanced: Public myth enhanced;"Reference to a suicide ""epidemic"": Wording suggestive of suicide as ""epidemic""";Reference to an increase or decrease in suicidal behaviour/increase in mental health problems resulting in a mental health crisis linked to suicide in US: Residual option (negative) or number of selected options;Reference to an increase or decrease in suicidal behaviour/increase in mental health problems resulting in a mental health crisis linked to suicide in US: Increase;Reference to an increase or decrease in suicidal behaviour/increase in mental health problems resulting in a mental health crisis linked to suicide in US: Decrease;Headline explicitly on suicide: Headline explicitly on suicidal behaviour and/or suicidal ideation;Repeated event: [01];Photos: Item contains photo (s);Section of print medium;Interview/ citation bereaved: Interview / citation bereaved person;Alternatives: Alternatives to suicidal behaviour;Expert type: Residual option (negative) or number of selected options;"Expert type: dedicated Mental Health expert (treating patients/ clients: MD; counsellor, psychologist, therapist, epidemiologist; public health researcher. Essentially, all professions working to prevent suicide)";Expert type: Politician;Expert type: First responder (police, emergency service, firebrigade);Expert type: Legal expert;Expert type: Other;Expert type: Health expert (exclude dedicated mental health expert categorised above);Type of contact - LIFELINE: Contact / reference to LIFELINE;Type of contact - LIFELINE: Breaking the silence /Break the silence;Glorified_Romancitized Item: Glorification_romantization;Approval of Suicide: Approval of Suicidal Behaviour;Population-based suicide prevention: Population-based suicide prevention efforts;Preventing suicide - individual Level: Preventing suicide - at the individual level;Story about life being saved: Someone´s life being saved;Coder;The item uses stigmatising language: Stigmatising language;Broadcast content;Celebrity-advocacy role: Celebrity role in prevention of suicidal behaviour;Misinformation: The item contains misinformation;Country of event: Residual option (negative) or number of selected options;Country of event: Oregon;Country of event: Washington;Country of event: In USA;Country of event: International;Time spent on page 1;Time spent on page 2;Time spent overall (except outliers);Time when the invitation mailing was sent (personally identifiable recipients, only);Time when the data was most recently updated;Has the interview been finished (reached last page)?;Did the respondent only view the questionnaire, omitting mandatory questions?;Last page that the participant has handled in the questionnaire;Hindmost page handled by the participant;Missing answers in percent;Missing answers (weighted by relevance);Degradation points for being very fast;Degradation points for being very fast
36;;;base;interview;18.02.2020 13:57;2;1;2;1;1;0;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;3;2;1;1;1;2;1;1;1;1;1;2;1;1;-9;;B_Apr_Wash_1;2;01.04.2019;14;;15;3;2;1;1;1;1;1;1;1;1;2;1;1;1;1;;2;0;1;1;1;1;1;1;1;1;1;1;1;1;;7;1;1;1;1;2;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;2;1;0;1;1;1;1;1;1;2;1;1;1;2;2;2;-9;1;-9;1;1;;;;;;399;916;1315;;25.03.2020 20:23;1;0;2;2;19;4;0.26;0
37;;;base;interview;18.02.2020 14:01;-9;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;4;2;1;1;1;2;1;1;1;1;1;1;1;2;-9;;B_Apr_Wash_2;2;01.04.2019;1;;14;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;7;2;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;2;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;-9;1;-9;1;1;;;;;;246;537;783;;15.03.2020 22:44;1;0;2;2;23;6;0.43;0
39;;;base;interview;18.02.2020 14:20;-9;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;-9;;B_Apr_Oreg_2;2;01.04.2019;6;;14;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;;7;1;1;1;1;1;1;4;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;2;1;1;1;-9;1;1;1;1;0;1;1;1;1;198;1020;1218;;22.06.2020 13:01;1;0;2;2;22;6;0.36;0
42;;;base;interview;18.02.2020 14:59;-9;1;2;1;1;0;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;3;2;1;1;1;2;1;1;1;1;1;2;1;1;-9;;B_Apr_Wash_5;2;01.04.2019;14;;15;3;2;1;1;1;1;1;1;1;1;2;1;1;1;1;;2;0;1;1;1;1;1;1;1;1;1;1;1;1;;7;1;1;1;1;2;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Wash_1;1;-9;2;2;0;1;1;1;1;1;1;2;1;1;1;2;2;1;-9;1;-9;1;1;;;;;;1192;1023;1115;;16.03.2020 00:23;1;0;2;2;19;3;0.17;0
44;;;base;interview;18.02.2020 15:47;-9;0;1;1;1;0;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;2;1;1;1;2;1;1;1;2;1;1;1;1;-9;;B_Apr_Wash_6;2;01.04.2019;14;;15;5;1;1;2;1;1;1;1;1;1;2;1;1;2;2;PTSD;2;0;1;1;1;1;1;1;1;1;1;1;1;1;;2;1;1;1;1;1;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Wash_3;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;1;2;1;-9;1;-9;1;1;;;;;;327;624;951;;15.03.2020 22:48;1;0;2;2;20;4;0.35;0
45;;;base;interview;18.02.2020 15:53;-9;1;2;1;1;0;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;3;2;1;1;1;1;2;1;1;1;1;2;1;1;-9;;B_Apr_Wash_7;2;01.04.2019;14;;15;3;2;1;1;1;1;1;1;1;1;2;1;1;1;1;;2;0;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;2;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;B_Apr_Wash_1;1;-9;1;2;0;1;1;1;1;1;1;2;1;1;1;1;2;1;-9;2;-9;1;1;;;;;;494;810;1304;;15.03.2020 22:50;1;0;2;2;19;3;0.25;0
46;;;base;interview;18.02.2020 16:03;2;1;1;2;1;1;1;2;1;0;1;1;1;1;1;1;1;;2;1;1;1;2;1;1;1;1;1;3;1;1;1;1;1;2;1;1;2;1;1;1;1;-9;;B_Apr_Oreg_3;2;01.04.2019;12;;13;3;1;1;2;1;1;1;1;1;1;1;1;1;2;2;Depression;1;1;1;1;1;1;1;1;1;1;1;2;1;1;;2;1;1;1;2;1;2;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;2;0;1;1;1;1;1;1;1;1;1;1;1;2;1;-9;1;-9;1;1;;;;;;573;1048;1621;;30.03.2020 15:05;1;0;2;2;17;3;0.21;0
47;;;base;interview;18.02.2020 16:21;-9;0;1;1;1;3;2;2;2;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;2;1;1;1;4;1;1;1;1;1;2;1;1;2;1;1;1;2;-9;;B_Apr_Oreg_4;2;01.04.2019;10;Loneliness and major depressive episodes in youth, gaming and over use of social media;14;3;1;1;1;1;1;1;1;1;1;1;2;1;1;2;Loneliness, gaming;2;0;1;1;1;1;1;1;1;1;1;1;1;1;;4;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;-9;1;1;1;1;;;;;;6090;1448;1540;;15.03.2020 22:51;1;0;2;2;20;5;0.1;0
49;;;base;interview;18.02.2020 16:53;-9;0;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;1;1;2;1;1;1;1;-9;;B_Apr_Oreg_6;2;01.04.2019;10;;14;4;1;1;1;1;1;1;1;1;1;2;2;1;1;2;depression, anxiety (due to social media);2;0;1;1;1;1;1;1;1;1;1;1;1;1;;4;1;1;1;1;1;2;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;1;-9;1;1;0;1;1;1;1;1;1;1;1;1;1;2;1;1;-9;1;-9;1;1;;;;;;473;62119;735;;30.03.2020 16:10;1;0;2;2;22;5;0.1;0
